"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAYMOND","EQ","15-Jun-2020","        290.65","        291.00","        295.75","        283.05","        284.65","        284.95","        287.97","     795846","           229175907.55","      14984","     358231","         45.01"
"RAYMOND","EQ","16-Jun-2020","        284.95","        291.70","        294.70","        267.80","        277.25","        278.20","        281.41","     656580","           184765057.10","      14245","     283106","         43.12"
"RAYMOND","EQ","17-Jun-2020","        278.20","        274.20","        284.80","        272.20","        278.00","        277.50","        279.54","     638851","           178582888.35","      13262","     212435","         33.25"
"RAYMOND","EQ","18-Jun-2020","        277.50","        277.70","        291.10","        277.50","        288.00","        288.10","        286.28","    1159684","           331996530.50","      20893","     390843","         33.70"
"RAYMOND","EQ","19-Jun-2020","        288.10","        288.20","        294.80","        286.10","        291.50","        291.50","        291.49","     803413","           234184117.75","      13071","     351475","         43.75"
"RAYMOND","EQ","22-Jun-2020","        291.50","        294.10","        308.35","        294.10","        301.65","        300.60","        302.45","    1615965","           488749350.95","      27663","     560097","         34.66"
"RAYMOND","EQ","23-Jun-2020","        300.60","        303.00","        305.00","        295.05","        297.50","        296.75","        299.80","     815389","           244456284.50","      16571","     207650","         52.30"
"RAYMOND","EQ","24-Jun-2020","        296.75","        300.00","        318.00","        290.40","        293.00","        293.90","        306.84","    2486881","           763083988.35","      39482","     868041","         34.90"
"RAYMOND","EQ","25-Jun-2020","        293.90","        290.20","        297.00","        287.00","        294.00","        293.70","        293.84","     596556","           175290173.35","      11520","     230335","         38.61"
"RAYMOND","EQ","26-Jun-2020","        293.70","        297.00","        302.70","        291.60","        292.80","        293.15","        296.03","     669795","           198277268.40","      13281","     251955","         37.62"
"RAYMOND","EQ","29-Jun-2020","        293.15","        292.00","        292.75","        282.70","        286.05","        287.00","        287.05","     534520","           153435724.70","      11525","     207727","         38.86"
"RAYMOND","EQ","30-Jun-2020","        287.00","        276.20","        284.80","        275.20","        277.50","        277.55","        279.71","     913170","           255425868.40","      17695","     344049","         37.68"
"RAYMOND","EQ","01-Jul-2020","        277.55","        278.00","        284.00","        275.95","        278.50","        278.00","        279.48","     679147","           189810434.00","      11107","     255879","         37.68"
"RAYMOND","EQ","02-Jul-2020","        278.00","        280.25","        283.40","        274.80","        276.70","        276.45","        277.78","     658495","           182917843.30","      12568","     328677","         49.91"
"RAYMOND","EQ","03-Jul-2020","        276.45","        280.85","        280.85","        268.40","        271.30","        270.30","        271.84","    1107188","           300979449.05","      20732","     628882","         56.80"
"RAYMOND","EQ","06-Jul-2020","        270.30","        274.00","        274.70","        267.80","        268.25","        268.75","        269.71","     907486","           244762312.70","      15229","     543613","         59.90"
"RAYMOND","EQ","07-Jul-2020","        268.75","        269.40","        282.00","        267.35","        274.80","        274.50","        276.09","    1522085","           420235124.55","      20485","     537642","         35.32"
"RAYMOND","EQ","08-Jul-2020","        274.50","        276.45","        277.90","        268.70","        269.90","        269.65","        272.12","     880912","           239715599.10","      13053","     425986","         48.36"
